round,conf_threshold,images_scanned,images_with_extra_boxes,extra_boxes_added,map50,map50_95
0,0.8,1760,37,111,0.5090776120131454,0.3430602617221704
1,0.7250000000000001,1760,235,479,0.5098670903349676,0.3289043771023528
2,0.65,1760,405,1281,0.5033515834933971,0.33420783377985636
